case,user_id,test_positive_items,full_recall_at_20,full_hit_items_at_20,full_top_20,masked_recall_at_20,masked_hit_items_at_20,masked_top_20,fused_recall_at_20,fused_hit_items_at_20,fused_top_20
masked_wins,8,3298,0,,2933|2813|2938|4518|3381|146|436|1281|3179|4103|913|1316|2823|6530|2839|132|2825|3285|1325|6545,1,3298,993|2982|7378|1556|3298|3936|7827|1597|8587|1568|2521|1950|3050|1685|5702|7578|1190|5384|7517|9135,1,3298,993|2982|7378|4518|3298|1190|1064|2813|1556|3381|2839|146|5074|6537|133|2933|6530|4419|958|4007
masked_wins,37,705,0,,715|619|620|636|661|654|667|641|663|669|720|665|668|694|626|723|623|666|735|5968,1,705,694|664|669|665|3117|4563|733|636|6628|619|1077|5961|637|705|443|3462|8144|6971|3307|659,1,705,619|715|636|694|669|665|705|720|664|4563|620|5968|723|663|654|676|641|672|623|637
masked_wins,53,698,0,,636|715|685|619|670|665|657|661|706|666|703|677|654|664|667|627|669|632|662|650,1,698,665|636|685|651|687|655|698|706|712|716|5971|714|690|4563|672|669|6077|739|632|666,0,,636|665|685|706|619|651|666|712|669|670|664|632|677|739|687|657|708|715|716|655
masked_wins,100,747,0,,316|269|135|208|860|182|277|906|3077|52|1087|134|337|489|597|973|970|205|576|293,1,747,316|8226|3325|747|7178|778|8803|8758|6988|779|7924|8165|230|2756|5274|5909|5891|8605|522|3906,1,747,316|860|747|337|230|1087|401|597|182|522|556|844|269|263|376|335|251|825|422|280
masked_wins,247,2850,0,,356|226|913|569|4323|134|254|559|469|543|1205|2992|311|4418|259|573|209|4346|267|308,1,2850,5702|2849|586|1345|977|2850|983|1569|621|200|3072|4532|4255|6928|321|4253|164|418|3827|9164,1,2850,2850|321|226|418|3072|1205|977|339|586|3073|3264|409|4323|3258|203|3954|469|356|134|4453
masked_wins,400,1779,0,,1345|1409|6117|4706|2439|2068|4061|2052|1353|4759|3844|2308|789|1357|2266|1341|2257|4902|4711|1873,1,1779,2068|3842|4965|2052|4955|4759|9014|1933|771|62|1779|1629|3825|2262|3197|3843|2529|6117|3307|5469,1,1779,2068|6117|2052|4759|1779|3844|771|3842|3825|1353|4957|1933|789|796|2308|6790|3495|6116|4902|2266
masked_wins,567,585,0,,131|567|1127|1087|576|577|164|3117|319|1555|489|204|342|304|4335|941|2931|490|134|209,1,585,2772|585|948|1087|2070|2507|1106|758|337|6844|2904|1574|2902|522|6113|4158|342|4609|2923|1555,0,,131|1087|1555|342|576|577|319|1085|490|758|209|337|489|2931|437|334|1589|204|3117|1127
masked_wins,657,647|4428,0,,698|657|623|654|636|666|661|665|673|639|715|678|621|2809|644|682|6970|720|629|620,1,4428|647,4428|5955|698|5953|682|164|743|1098|5940|726|2886|649|647|5964|8100|2806|6131|6968|7317|636,0.5,4428,698|4428|682|636|666|5955|2809|649|644|5964|639|621|631|5953|657|661|726|700|629|6970
masked_wins,663,4428,0,,657|666|644|673|654|661|665|636|715|627|626|667|629|641|623|620|619|632|640|639,1,4428,660|644|6968|639|628|682|4428|671|661|620|4557|3366|5951|677|649|6970|732|657|666|4555,0,,657|644|666|661|620|654|629|639|636|667|626|673|628|6970|677|671|623|641|715|627
masked_wins,674,5961,0,,636|629|715|666|657|677|667|664|685|670|654|635|627|723|619|651|683|669|641|730,1,5961,682|6975|5975|5961|631|680|644|671|641|5952|5967|658|8060|666|642|690|6970|37|5970|6131,1,5961,636|666|715|641|631|644|5961|629|5975|669|671|654|677|723|685|684|657|648|730|670
both_fail_fusion_wins,1564,6396,0,,771|782|1634|1692|1699|1674|1698|3201|2031|1686|1673|3197|3232|8204|1627|1670|5282|1127|790|1919,0,,8919|164|3201|6771|5685|6206|1740|1359|1127|814|3232|5490|3019|4484|841|6673|2121|6770|4519|4485,1,6396,771|3201|1699|1698|1634|1692|3232|782|1127|3197|1686|2031|1674|841|2052|2030|6396|8782|1670|8204
both_fail_fusion_wins,1597,43,0,,2658|2687|7653|5551|2913|155|72|117|2736|188|7783|1666|6487|7686|8026|3374|6741|3079|74|5543,0,,6870|840|771|8026|1180|6903|2658|6759|813|346|7371|5418|788|3579|3451|6205|1673|3515|1353|9242,1,43,2658|2687|8026|7653|2913|74|72|7686|65|43|6487|6741|188|576|5786|751|3271|2642|438|3393
both_fail_fusion_wins,2124,1190,0,,598|439|222|1319|602|317|134|409|441|2933|347|1092|569|558|331|445|585|559|462|326,0,,1890|2509|6881|3989|6531|4902|114|37|586|8514|1128|3987|287|334|3117|8022|1413|2901|7096|1407,1,1190,598|439|1092|602|585|441|347|2933|586|1128|1319|134|33|1190|2992|2996|559|453|3057|571
both_fail_fusion_wins,2144,4519,0,,602|497|598|439|377|371|304|453|434|134|317|384|293|837|1018|867|3509|255|297|409,0,,867|3197|1629|1127|304|602|164|771|1209|3201|8435|453|3509|6110|2134|2052|332|4805|2456|2931,1,4519,602|867|304|453|497|3509|434|377|293|371|837|317|384|4519|576|1080|598|1018|439|134
both_fail_fusion_wins,2478,3845,0,,2312|1811|1806|2225|4040|5295|6841|2060|3503|4686|3825|3710|6881|2036|567|4811|1909|2139|4851|1965,0,,1926|2060|7508|4686|8042|3704|9187|4920|7088|3863|4939|3643|3697|7888|1015|8519|5788|3930|2312|7742,1,3845,2312|2060|4686|4040|3704|1926|6881|8599|3697|3845|3867|3863|4939|3825|7888|1811|3643|1879|6300|3667
both_fail_fusion_wins,2490,2866,0,,255|131|378|326|439|577|327|437|342|317|371|338|471|1080|752|268|445|2996|493|598,0,,597|2969|599|840|6524|4158|1413|3349|3180|771|478|5606|1087|7692|761|3022|5874|268|3232|3179,1,2866,597|2969|378|577|255|268|437|1080|131|445|438|271|1087|6524|576|471|599|840|434|2866
both_fail_fusion_wins,2606,11,0,,7259|5017|7202|7939|7161|7935|5496|8819|8766|8817|5014|3913|8842|8499|6313|8546|6835|3944|7904|6212,0,,1558|5930|5108|2431|1688|5411|6823|8796|5993|619|2388|222|9286|8122|1452|5795|1587|8952|501|1976,1,11,7161|7259|11|3503|7939|8952|6833|8266|3917|8546|5017|7935|5496|7940|5014|8766|8817|8384|4982|5024
both_fail_fusion_wins,2732,721,0,,743|641|8100|667|654|5953|715|702|709|5964|6968|6969|682|710|648|623|705|621|657|622,0,,743|1631|4428|621|679|5976|4429|6970|644|7161|690|1884|641|9237|5978|4557|4846|700|1863|3148,1,721,743|641|654|621|8100|6970|6968|5953|5976|5964|682|702|6969|4428|721|679|648|644|700|666
both_fail_fusion_wins,2734,4563,0,,714|668|664|706|702|710|655|2762|727|677|738|732|662|666|1086|720|194|646|733|620,0,,194|714|7471|702|6920|606|5975|710|622|165|2762|4961|7330|5266|1786|181|415|4205|7945|4172,1,4563,714|194|702|710|2762|5975|655|7471|622|6920|664|677|738|733|4563|668|4205|1786|662|646
both_fail_fusion_wins,2782,6493,0,,944|4071|3367|37|7421|5023|1367|5028|42|3452|941|5144|5022|7172|4493|5930|3018|5940|1452|1175,0,,1518|5165|313|5168|4814|493|639|6803|1451|8037|2851|3351|3954|5404|1516|2021|5748|4517|6454|8043,1,6493,1518|1451|4071|37|36|42|3018|5028|6531|944|2851|1175|3016|5531|6493|1545|1516|5023|1531|7421
