sample_id,user_id,positive_item,negative_item,item_a,item_b,flipped,ground_truth_label,pid_split,split_position
122,128,1591,1284,1284,1591,1,0,train,138
123,129,831,6384,6384,831,1,0,train,5369
124,130,2183,5812,2183,5812,0,1,train,5620
125,131,4946,2555,4946,2555,0,1,train,6014
126,132,763,2400,2400,763,1,0,train,5695
127,133,2217,6457,6457,2217,1,0,train,6095
128,134,2133,2244,2244,2133,1,0,train,6228
129,135,3974,8509,8509,3974,1,0,test,241
130,136,4843,596,4843,596,0,1,train,4926
131,137,1827,746,746,1827,1,0,train,6483
132,138,3828,263,3828,263,0,1,train,6242
133,139,2444,7546,7546,2444,1,0,train,3910
134,140,6045,6678,6678,6045,1,0,train,3605
135,141,2151,1879,1879,2151,1,0,train,7278
136,142,2129,710,710,2129,1,0,train,1258
137,143,5863,1350,5863,1350,0,1,train,6339
138,145,228,5778,228,5778,0,1,train,3112
139,146,7139,5315,5315,7139,1,0,train,2879
140,147,7931,5941,7931,5941,0,1,test,1412
141,148,9299,5988,5988,9299,1,0,train,5267
142,149,355,3537,3537,355,1,0,train,1253
143,150,1381,8956,8956,1381,1,0,train,7175
144,151,880,3697,3697,880,1,0,test,125
145,152,6723,5456,5456,6723,1,0,train,4457
146,153,4964,4756,4756,4964,1,0,train,4336
147,156,6249,6987,6249,6987,0,1,train,3683
148,157,4690,38,4690,38,0,1,train,5734
149,158,5928,8871,5928,8871,0,1,train,729
150,159,5045,4163,4163,5045,1,0,train,7090
151,160,4104,3715,4104,3715,0,1,train,6061
152,161,338,131,338,131,0,1,train,1663
153,162,305,149,149,305,1,0,train,5863
154,163,4230,4843,4230,4843,0,1,train,4246
155,164,1436,5167,1436,5167,0,1,train,4619
156,165,164,462,462,164,1,0,train,7451
157,166,3061,6459,3061,6459,0,1,train,558
158,168,2718,5556,2718,5556,0,1,train,2825
159,169,163,5418,163,5418,0,1,train,2365
160,170,444,2250,2250,444,1,0,train,4954
161,171,4424,4148,4424,4148,0,1,train,3069
162,172,1020,5511,1020,5511,0,1,train,7776
163,173,1080,794,794,1080,1,0,test,1601
164,174,4560,5111,4560,5111,0,1,train,7421
165,175,417,7991,7991,417,1,0,train,61
166,176,1098,8753,8753,1098,1,0,test,1548
167,177,226,170,170,226,1,0,train,3062
168,178,4052,6286,6286,4052,1,0,train,160
169,179,3980,9058,3980,9058,0,1,test,1018
170,180,3249,5268,3249,5268,0,1,train,1096
171,181,264,1003,1003,264,1,0,train,4878
172,182,585,5770,585,5770,0,1,train,6746
173,184,941,7320,941,7320,0,1,train,7104
174,185,3113,891,891,3113,1,0,test,521
175,186,7166,575,575,7166,1,0,train,4074
176,187,2438,3876,2438,3876,0,1,train,662
177,188,6697,7638,6697,7638,0,1,train,5565
178,189,5594,8276,8276,5594,1,0,train,385
179,190,6649,1804,1804,6649,1,0,train,4164
180,191,4566,4549,4549,4566,1,0,train,4970
181,192,3280,1854,1854,3280,1,0,train,3733
182,193,8094,4140,8094,4140,0,1,train,4955
183,194,6741,2878,2878,6741,1,0,train,4638
184,195,5671,330,5671,330,0,1,train,6769
185,196,4407,93,4407,93,0,1,train,5658
186,197,3064,103,3064,103,0,1,train,1459
187,198,2038,1901,2038,1901,0,1,train,770
188,199,337,3109,3109,337,1,0,train,2927
189,200,134,2453,134,2453,0,1,train,4190
190,201,891,5319,5319,891,1,0,train,2235
191,202,5411,3961,5411,3961,0,1,train,3744
192,203,2905,6782,2905,6782,0,1,train,3002
193,204,2621,7194,7194,2621,1,0,train,7064
194,205,255,3686,255,3686,0,1,test,60
195,206,2769,2358,2769,2358,0,1,train,6049
196,207,3064,1669,1669,3064,1,0,test,723
197,208,368,7821,368,7821,0,1,train,1144
198,209,3059,184,184,3059,1,0,train,2593
199,210,4295,494,4295,494,0,1,train,7550
200,211,2769,1191,2769,1191,0,1,train,2996
201,212,2769,9274,9274,2769,1,0,test,956
202,213,2769,9171,9171,2769,1,0,train,204
203,214,1126,5755,5755,1126,1,0,train,1731
204,215,1873,7010,1873,7010,0,1,train,6122
205,216,6765,2974,6765,2974,0,1,test,607
206,217,2754,6589,6589,2754,1,0,train,1696
207,218,1555,641,641,1555,1,0,train,1187
208,219,4519,5779,5779,4519,1,0,test,329
209,220,4527,7955,7955,4527,1,0,train,2357
210,221,489,7462,489,7462,0,1,train,2926
211,222,5621,3950,3950,5621,1,0,train,2444
212,223,582,4499,582,4499,0,1,test,1104
213,224,7997,5219,5219,7997,1,0,train,3361
214,225,321,7961,321,7961,0,1,test,1255
215,226,443,184,184,443,1,0,test,169
216,228,740,4001,740,4001,0,1,test,1250
217,229,4497,630,630,4497,1,0,train,3437
218,230,569,4340,569,4340,0,1,train,3238
219,231,491,1321,1321,491,1,0,train,2791
220,232,939,297,297,939,1,0,test,461
221,233,351,3987,3987,351,1,0,test,115
222,235,7307,5249,7307,5249,0,1,train,3045
223,236,2235,9005,2235,9005,0,1,train,1366
224,237,4733,3994,3994,4733,1,0,train,2060
225,238,1240,305,1240,305,0,1,train,963
226,239,7406,344,7406,344,0,1,train,5707
227,240,2630,3989,3989,2630,1,0,train,2955
228,241,2129,6837,6837,2129,1,0,train,6643
229,242,2355,2489,2355,2489,0,1,train,6462
230,243,6261,6395,6395,6261,1,0,train,3513
231,244,5863,6246,5863,6246,0,1,test,254
232,245,195,5342,195,5342,0,1,test,1203
233,246,2991,4904,4904,2991,1,0,train,1801
234,247,2850,4916,2850,4916,0,1,train,6703
235,248,843,3307,3307,843,1,0,train,1274
236,249,5660,8916,5660,8916,0,1,train,519
237,250,158,1083,158,1083,0,1,train,580
238,251,3008,6181,3008,6181,0,1,train,1788
239,252,8281,6767,6767,8281,1,0,train,3523
240,253,368,5547,368,5547,0,1,train,216
241,254,1914,2944,2944,1914,1,0,test,190
242,255,6966,7017,7017,6966,1,0,test,718
243,256,7042,5083,5083,7042,1,0,train,6009
244,257,9108,4245,9108,4245,0,1,train,6240
245,258,3173,7238,7238,3173,1,0,train,3374
246,259,2164,6752,6752,2164,1,0,train,5947
247,260,777,5313,777,5313,0,1,train,6387
248,261,9190,7250,7250,9190,1,0,train,4632
249,262,2749,3196,3196,2749,1,0,test,114
250,263,1879,7820,7820,1879,1,0,train,52
251,264,1357,1017,1017,1357,1,0,train,3402
252,265,2650,2068,2650,2068,0,1,train,901
253,266,3418,5784,3418,5784,0,1,train,167
254,267,6185,7626,7626,6185,1,0,train,2159
255,268,7767,1183,7767,1183,0,1,train,6902
256,269,3418,5216,5216,3418,1,0,train,5355
257,270,1934,7164,1934,7164,0,1,train,7077
258,271,2220,6714,6714,2220,1,0,train,6611
259,272,1955,771,1955,771,0,1,train,227
260,273,3733,5646,3733,5646,0,1,test,393
261,274,1674,1197,1197,1674,1,0,train,5280
262,275,1874,5685,1874,5685,0,1,train,709
263,276,6237,6517,6517,6237,1,0,train,2680
264,277,8532,3082,8532,3082,0,1,train,2598
265,278,434,7961,434,7961,0,1,train,520
266,279,3264,4980,4980,3264,1,0,train,7843
267,280,3249,1068,3249,1068,0,1,train,5460
268,281,5659,6929,6929,5659,1,0,test,168
269,282,4358,2030,2030,4358,1,0,test,139
270,283,1439,4657,4657,1439,1,0,test,383
271,284,8538,5215,8538,5215,0,1,train,6574
272,285,3249,4635,4635,3249,1,0,test,1467
273,286,4139,750,4139,750,0,1,train,4158
274,287,1878,7297,1878,7297,0,1,train,1105
275,288,7410,343,7410,343,0,1,train,6293
276,289,3016,3389,3016,3389,0,1,train,87
277,290,2772,8989,8989,2772,1,0,train,3738
278,291,4041,6605,4041,6605,0,1,train,3182
279,292,6213,8778,6213,8778,0,1,train,5834
280,293,9043,89,9043,89,0,1,test,1380
281,294,1050,6636,1050,6636,0,1,train,5114
282,295,4041,5530,4041,5530,0,1,train,5336
283,296,528,1182,1182,528,1,0,train,1693
284,297,3753,1914,3753,1914,0,1,train,7138
285,298,8300,3075,8300,3075,0,1,test,149
286,299,2039,2791,2039,2791,0,1,train,6275
287,300,1895,7945,7945,1895,1,0,test,1578
288,301,8430,524,524,8430,1,0,train,2855
289,302,4241,8122,8122,4241,1,0,train,5425
290,303,1050,4893,1050,4893,0,1,test,759
291,304,4249,2121,2121,4249,1,0,train,1800
292,305,1521,2493,2493,1521,1,0,train,5218
293,306,8181,2331,8181,2331,0,1,train,1662
294,307,1415,4763,1415,4763,0,1,train,2784
295,308,3805,1129,3805,1129,0,1,test,1439
296,309,278,8056,278,8056,0,1,train,3639
297,310,1427,305,1427,305,0,1,test,938
298,311,6595,6764,6764,6595,1,0,train,3446
299,312,923,4917,4917,923,1,0,train,3641
300,313,4323,2229,4323,2229,0,1,test,1872
301,314,1205,1313,1313,1205,1,0,train,7855
302,315,468,7436,468,7436,0,1,train,3503
303,316,253,9119,253,9119,0,1,train,4749
304,318,134,6287,134,6287,0,1,train,1309
305,319,264,2862,264,2862,0,1,train,395
306,320,441,4989,441,4989,0,1,test,1694
307,323,3011,2074,2074,3011,1,0,test,678
308,325,5713,2303,2303,5713,1,0,train,5799
309,326,374,3183,3183,374,1,0,train,2601
310,327,1446,1707,1446,1707,0,1,train,7846
311,328,585,7174,585,7174,0,1,train,3533
312,329,2040,7119,7119,2040,1,0,test,11
313,330,574,1327,574,1327,0,1,test,1799
314,331,1451,9084,1451,9084,0,1,train,4231
315,332,532,5689,532,5689,0,1,train,5936
316,333,4001,194,4001,194,0,1,train,5098
317,334,2944,8147,8147,2944,1,0,train,18
318,335,537,1696,537,1696,0,1,train,6950
319,336,308,6362,308,6362,0,1,train,5628
320,337,73,6841,6841,73,1,0,train,6690
321,338,407,4859,4859,407,1,0,train,575
322,339,327,3885,3885,327,1,0,train,4776
323,340,138,9003,9003,138,1,0,train,1316
324,341,134,5478,134,5478,0,1,train,4588
325,342,3990,6320,6320,3990,1,0,train,6444
326,343,2781,9149,9149,2781,1,0,test,47
327,344,4005,7729,7729,4005,1,0,train,7664
328,345,4558,5793,4558,5793,0,1,train,6850
329,346,435,8145,8145,435,1,0,train,3645
330,347,142,8477,142,8477,0,1,train,1178
331,348,1013,1200,1200,1013,1,0,test,730
332,349,204,4192,4192,204,1,0,train,4945
333,350,1555,7018,7018,1555,1,0,train,3657
334,351,1314,322,1314,322,0,1,train,2076
335,352,3562,2223,3562,2223,0,1,test,1871
336,353,608,2111,608,2111,0,1,test,167
337,354,3237,2792,3237,2792,0,1,train,6119
338,355,5783,1321,1321,5783,1,0,train,3130
339,356,2929,5601,5601,2929,1,0,train,3635
340,357,680,2347,680,2347,0,1,train,2631
341,358,550,5678,550,5678,0,1,train,450
342,359,372,2489,2489,372,1,0,train,962
343,360,939,1019,1019,939,1,0,train,7073
344,361,2973,9323,9323,2973,1,0,train,3930
345,362,2906,2625,2625,2906,1,0,train,720
346,364,2850,8817,8817,2850,1,0,test,56
347,366,2878,2364,2364,2878,1,0,train,1225
348,367,3135,642,642,3135,1,0,test,388
349,368,8711,7440,8711,7440,0,1,train,6238
350,369,2582,8192,8192,2582,1,0,train,3352
351,371,2951,12,2951,12,0,1,test,639
352,372,264,6417,264,6417,0,1,train,5855
353,373,3037,4800,3037,4800,0,1,train,598
354,374,4406,1486,1486,4406,1,0,train,7258
355,375,558,5659,5659,558,1,0,train,801
356,376,3994,4658,4658,3994,1,0,test,1834
357,377,437,8879,8879,437,1,0,test,295
358,378,2853,6042,2853,6042,0,1,train,2612
359,379,548,8334,8334,548,1,0,test,573
360,380,360,8494,8494,360,1,0,train,7145
361,381,7660,5908,7660,5908,0,1,test,1482
362,382,5225,5490,5490,5225,1,0,train,6708
363,383,2226,4941,4941,2226,1,0,train,5309
364,384,1723,5748,5748,1723,1,0,test,1449
365,385,4156,4964,4964,4156,1,0,train,7856
366,386,579,2439,2439,579,1,0,train,6498
367,387,8128,8372,8128,8372,0,1,train,5476
368,388,9014,9157,9157,9014,1,0,test,953
369,389,2385,749,749,2385,1,0,train,4956
370,390,3429,8096,3429,8096,0,1,train,7791
371,391,6378,2597,6378,2597,0,1,train,6770
372,393,5415,6060,6060,5415,1,0,train,1715
373,394,7527,2426,7527,2426,0,1,train,849
374,395,6313,514,514,6313,1,0,train,1781
375,396,1812,3673,1812,3673,0,1,train,512
376,397,1793,4674,4674,1793,1,0,train,3993
377,398,2380,4473,2380,4473,0,1,test,1805
378,399,5445,7778,7778,5445,1,0,train,604
379,400,1779,5149,1779,5149,0,1,train,4914
380,401,2376,1623,2376,1623,0,1,train,1708
381,402,7536,6695,7536,6695,0,1,train,7793
382,403,875,4850,875,4850,0,1,train,6382
383,404,2102,7947,7947,2102,1,0,train,7713
384,405,2380,2980,2380,2980,0,1,test,82
385,406,2775,8774,2775,8774,0,1,train,668
386,407,6105,8257,6105,8257,0,1,train,6531
387,408,5215,7195,7195,5215,1,0,train,7372
388,409,1885,3624,3624,1885,1,0,train,4887
389,410,2330,3931,3931,2330,1,0,train,1776
390,411,3549,2724,3549,2724,0,1,train,6889
391,412,4937,6921,4937,6921,0,1,train,6880
392,413,4649,4055,4055,4649,1,0,test,1336
393,414,1375,6966,6966,1375,1,0,test,662
394,415,9194,9183,9183,9194,1,0,train,5808
395,416,7875,7622,7875,7622,0,1,train,6285
396,417,3318,760,760,3318,1,0,train,949
397,418,7062,1975,1975,7062,1,0,test,1528
398,420,2376,4907,4907,2376,1,0,train,3931
399,421,4995,4829,4829,4995,1,0,test,1211
400,422,7165,2981,2981,7165,1,0,train,267
401,423,4262,7873,4262,7873,0,1,train,1912
402,424,8822,2512,2512,8822,1,0,train,3409
403,425,5029,191,191,5029,1,0,train,1310
404,427,5146,6552,5146,6552,0,1,test,1910
405,428,3452,491,3452,491,0,1,train,408
406,429,5024,1700,1700,5024,1,0,train,2350
407,430,8796,7552,8796,7552,0,1,train,1508
408,431,857,3407,857,3407,0,1,train,7476
409,432,3069,7048,3069,7048,0,1,train,3026
410,433,1205,2558,2558,1205,1,0,test,1373
411,434,4456,2433,2433,4456,1,0,train,7494
412,435,5170,644,5170,644,0,1,train,1175
413,436,3217,6566,6566,3217,1,0,test,1368
414,437,569,1241,1241,569,1,0,train,6269
415,438,268,4911,4911,268,1,0,train,3702
416,439,4411,52,4411,52,0,1,train,2035
417,440,226,9196,9196,226,1,0,train,4742
418,441,331,2018,331,2018,0,1,train,5288
419,442,2755,425,425,2755,1,0,test,20
420,443,5085,1248,5085,1248,0,1,test,74
421,444,4542,2570,2570,4542,1,0,train,7532
422,445,1492,4128,4128,1492,1,0,train,3856
423,446,3367,3814,3814,3367,1,0,train,7016
424,447,8525,652,652,8525,1,0,train,5188
425,448,242,4244,242,4244,0,1,train,3731
426,449,434,996,996,434,1,0,train,4109
427,450,7681,115,7681,115,0,1,test,1564
428,451,7838,6884,6884,7838,1,0,train,1443
429,452,209,733,733,209,1,0,train,3356
430,453,254,2310,254,2310,0,1,test,1390
431,454,3026,8938,3026,8938,0,1,train,3347
432,455,5186,7758,7758,5186,1,0,train,7029
433,456,5172,121,121,5172,1,0,train,3423
434,457,2794,1003,2794,1003,0,1,train,870
435,458,4158,6913,4158,6913,0,1,train,5823
436,459,1454,8107,1454,8107,0,1,train,1506
437,460,1371,1983,1371,1983,0,1,train,3576
438,461,134,1772,134,1772,0,1,test,845
439,462,1862,3253,1862,3253,0,1,train,195
440,463,748,2478,748,2478,0,1,train,2271
441,464,1698,2529,2529,1698,1,0,train,5017
442,465,2001,843,2001,843,0,1,train,207
443,466,9026,2831,2831,9026,1,0,test,907
444,467,1708,5430,5430,1708,1,0,train,4671
445,469,5277,5441,5441,5277,1,0,train,3300
446,471,7596,1552,7596,1552,0,1,train,1799
447,472,5443,2732,5443,2732,0,1,test,1288
448,473,308,8428,308,8428,0,1,train,4201
449,474,7862,8536,7862,8536,0,1,train,7470
450,475,3871,2752,3871,2752,0,1,train,7645
451,476,1166,7012,7012,1166,1,0,train,4755
452,477,7511,5014,5014,7511,1,0,train,7109
453,478,772,3363,772,3363,0,1,train,1719
454,479,3149,2273,2273,3149,1,0,train,3467
455,480,7026,1142,7026,1142,0,1,train,1403
456,481,7915,2859,2859,7915,1,0,train,4236
457,482,8170,677,677,8170,1,0,train,2237
458,483,2152,2877,2877,2152,1,0,test,926
459,484,2654,7123,2654,7123,0,1,train,3721
460,485,6176,2491,2491,6176,1,0,test,496
461,486,2379,4345,4345,2379,1,0,test,1552
462,487,1598,1369,1598,1369,0,1,train,7761
463,489,814,7051,814,7051,0,1,test,1712
464,490,313,1309,313,1309,0,1,train,3490
465,491,4335,4358,4358,4335,1,0,train,3338
466,492,2756,6391,2756,6391,0,1,test,1792
467,493,4932,582,4932,582,0,1,train,7035
468,494,5482,6355,5482,6355,0,1,train,6337
469,495,1907,99,1907,99,0,1,train,3099
470,496,1798,2862,1798,2862,0,1,train,3249
471,497,1352,254,1352,254,0,1,test,464
472,498,748,1993,1993,748,1,0,train,5906
473,499,8116,6874,6874,8116,1,0,train,22
474,500,1369,2143,2143,1369,1,0,train,6250
475,501,5,9300,9300,5,1,0,test,713
476,502,1352,4438,4438,1352,1,0,train,6099
477,503,4079,8869,4079,8869,0,1,train,4096
478,504,4257,3597,4257,3597,0,1,train,6701
479,505,4221,3126,3126,4221,1,0,train,5696
480,506,5536,7119,7119,5536,1,0,train,7690
481,507,4348,6922,4348,6922,0,1,train,3335
482,509,4232,502,502,4232,1,0,train,2671
483,510,2048,5735,2048,5735,0,1,train,6438
484,511,1628,736,736,1628,1,0,train,3451
485,512,319,2442,319,2442,0,1,train,4460
486,513,4443,3514,4443,3514,0,1,test,25
487,514,131,3985,131,3985,0,1,train,7141
488,515,1133,5036,1133,5036,0,1,test,1858
489,517,6652,6900,6652,6900,0,1,train,4805
490,518,761,7465,761,7465,0,1,train,412
491,519,5591,3708,5591,3708,0,1,train,4117
492,520,131,6908,6908,131,1,0,train,6799
493,521,919,2749,2749,919,1,0,train,7093
494,522,377,3760,377,3760,0,1,train,1729
495,524,1128,8090,8090,1128,1,0,test,739
496,525,917,6887,917,6887,0,1,train,1460
497,526,131,529,529,131,1,0,train,6361
498,527,4220,6679,6679,4220,1,0,train,6588
499,528,3117,2520,3117,2520,0,1,train,6058
500,529,9163,4488,9163,4488,0,1,train,667
501,530,1683,3320,1683,3320,0,1,test,477
502,531,2969,8700,8700,2969,1,0,train,892
503,532,209,7361,209,7361,0,1,train,2517
504,533,3188,7173,3188,7173,0,1,train,3541
505,534,6489,6905,6905,6489,1,0,train,7515
506,535,301,5779,5779,301,1,0,train,5238
507,536,1001,1067,1001,1067,0,1,train,2848
508,537,3391,4149,3391,4149,0,1,train,86
509,538,344,4406,4406,344,1,0,train,7318
510,539,305,5484,5484,305,1,0,train,7430
511,540,450,3215,450,3215,0,1,train,8
512,541,1005,9267,1005,9267,0,1,test,173
513,542,263,6933,263,6933,0,1,test,1259
514,543,342,3817,3817,342,1,0,train,813
515,544,596,964,964,596,1,0,test,715
516,545,321,8969,8969,321,1,0,train,1004
517,546,1320,4719,4719,1320,1,0,test,41
518,547,1417,8583,1417,8583,0,1,train,550
519,548,5068,3346,5068,3346,0,1,test,1857
520,550,1084,1190,1190,1084,1,0,test,1537
521,551,1085,6049,6049,1085,1,0,train,4989
522,552,1035,9145,9145,1035,1,0,train,1716
523,553,4669,4846,4669,4846,0,1,test,1220
524,554,1077,4346,1077,4346,0,1,test,1793
525,555,363,3798,3798,363,1,0,train,927
526,556,391,7221,7221,391,1,0,test,651
527,557,559,1648,1648,559,1,0,train,4344
528,558,230,6006,6006,230,1,0,train,190
529,559,597,6487,6487,597,1,0,train,2420
530,560,4532,9254,9254,4532,1,0,train,7559
531,561,5600,6946,5600,6946,0,1,train,6175
532,562,961,6544,961,6544,0,1,train,2119
533,563,2870,7489,2870,7489,0,1,train,1097
534,564,3217,8138,8138,3217,1,0,train,250
535,565,322,4470,4470,322,1,0,train,7151
536,566,939,2995,2995,939,1,0,train,1028
537,567,585,3892,585,3892,0,1,train,3089
538,569,471,8905,8905,471,1,0,train,4872
539,570,3407,666,666,3407,1,0,train,317
540,571,2967,949,2967,949,0,1,test,1297
541,572,138,6204,138,6204,0,1,train,1340
542,573,340,4613,340,4613,0,1,train,1235
543,574,1422,5676,1422,5676,0,1,train,6246
544,575,598,3758,598,3758,0,1,train,2878
545,576,2866,1561,2866,1561,0,1,test,1922
546,577,844,6454,844,6454,0,1,train,6408
547,578,413,3597,3597,413,1,0,test,1252
548,579,59,8733,59,8733,0,1,train,7505
549,580,1195,3602,1195,3602,0,1,train,4286
550,581,5591,7630,7630,5591,1,0,train,3175
551,582,419,7025,7025,419,1,0,train,6686
552,583,419,7409,7409,419,1,0,train,1185
553,584,585,376,585,376,0,1,test,1649
554,585,952,5988,952,5988,0,1,train,944
555,586,5583,195,5583,195,0,1,train,7246
556,587,1078,8727,1078,8727,0,1,train,5591
557,588,946,3085,946,3085,0,1,train,2203
558,590,844,4625,4625,844,1,0,train,2184
559,591,3509,4550,3509,4550,0,1,train,4182
560,592,326,5817,5817,326,1,0,train,5749
561,593,522,991,522,991,0,1,train,1548
562,594,4520,2557,2557,4520,1,0,train,1990
563,596,1323,8201,8201,1323,1,0,train,2227
564,597,5787,8255,8255,5787,1,0,train,1240
565,598,9045,3499,3499,9045,1,0,test,957
566,599,597,8328,597,8328,0,1,train,4110
567,600,2997,8265,8265,2997,1,0,test,1084
568,602,494,7406,494,7406,0,1,test,1703
569,603,597,4745,4745,597,1,0,train,7828
570,604,3381,6088,3381,6088,0,1,train,4411
571,605,249,5161,249,5161,0,1,test,1495
572,606,588,9073,9073,588,1,0,train,3372
573,607,1001,5623,5623,1001,1,0,train,302
574,608,5140,8264,8264,5140,1,0,train,1825
575,609,6510,8082,6510,8082,0,1,test,636
576,610,2911,5587,5587,2911,1,0,train,2454
577,612,597,1820,1820,597,1,0,test,560
578,613,599,7428,599,7428,0,1,train,5701
579,614,1087,8178,1087,8178,0,1,train,2736
580,615,597,5377,5377,597,1,0,test,1366
581,616,1628,1594,1594,1628,1,0,train,4024
